ID	Host
Lake_Sarah_Associated_Circular_virus-1	Unknown
Caecom1|Caecom1_508386_fgenesh1_pg.470	Fungi
Fusarium_graminearum_gemytripvirus-1	Fungi
Entamoeba-associated_CRESS_DNA_virus-3	Protist
Botrytis_gemydayirivirus-2	Fungi
Chaetoceros_diatodnavirus-1	Protist
Bacilladnaviridae_sp.	Protist
Bacilladnavirus-sp.	Protist
Bacillariodnavirus-LDMD-2013	Protist
Amphibola_crenata_associated_bacilladnavirus-2	Protist
Amphibola_crenata_associated_bacilladnavirus-1	Protist
Batrachochytrium_dendrobatidis_DNA_virus-1	Fungi
Circovirus-like_genome_DCCV-5	Unknown
Porcine_circovirus-2	Animal
Pigeon_circovirus	Animal
Goose_circovirus	Animal
Canary_circovirus	Animal
Giardia-associated_CRESS_DNA_virus-1	Protist
Wastewater_CRESS_DNA_virus-1	Unknown
Wastewater_CRESS_DNA_virus-2	Unknown
Giardia-associated_CRESS_DNA_virus-2	Protist
Feline_stool-associated_circular_virus-KU14	Animal
Phylloscopus_fuscatus_CRESS-DNA-virussp.	Animal
Luscinia_calliope_CRESS-DNA-virussp.	Animal
Otus_scops_CRESS-DNA-virussp.	Animal
Tarsiger_cyanurus_CRESS-DNA-virussp.	Animal
Periparus_ater_CRESS-DNA-virussp.	Animal
Garrulus_glandarius_associated_circular_virus-1	Animal
Odonata-associated_circular_virus-13	Animal
Cecropis_daurica_CRESS-DNA-virussp._	Animal
Grus_japonensis_CRESS-DNA-virussp._	Animal
Emberiza_rustica_CRESS-DNA-virussp._	Animal
Odonata-associated_circular_virus-18	Animal
Wastewater_CRESS_DNA_virus3	Unknown
Nandayus_nenday_CRESS-DNA-virussp._	Animal
Syrmaticus_ellioti_CRESS-DNA-virussp._	Animal
Lorikeet_CRESS-DNA-virussp.	Animal
Grapevine_geminivirus	Plant
Apple_geminivirusPL-2015	Plant
Soybean_geminivirus-A	Plant
Tomato_associated_geminivirus-1	Plant
Cassava_associated_gemycircularvirus-1	Plant
Faeces_associated_gemycircularvirus-20	Unknown
Dragonfly-associated_circular_virus-2	Animal
Faeces_associated_gemycircularvirus-18	Unknown
Faeces_associated_gemycircularvirus-4	Unknown
Faeces_associated_gemycircularvirus-6	Unknown
Faeces_associated_gemycircularvirus19	Unknown
Sewage_derived_gemycircularvirus-1	Unknown
Faeces_associated_gemycircularvirus-16	Unknown
Sclerotinia_sclerotiorum_hypovirulence_associated_DNA_virus-1	Fungi
Dragonfly-associated_circular_virus-3	Animal
Faeces_associated_gemycircularvirus-15	Unknown
Faeces_associated_gemycircularvirus-14	Unknown
Pacific_flying_fox_faeces_associated_gemycircularvirus-1	Animal
Sewage-associated_gemycircularvirus-5	Unknown
Faeces_associated_gemycircularvirus-10	Unknown
Badger_associated_gemykibivirus-1	Animal
Blackbird_associated_gemykibivirus-1	Animal
Pacific_flying_fox_gemycircularvirus-12	Animal
Pacific_flying_fox_gemycircularvirus-6	Animal
Pacific_flying_fox_gemycircularvirus-7	Animal
Sewage-associated_gemycircularvirus-4	Unknown
Caribou_feces-associated_gemycircularvirus	Animal
HCBI9.212_virus	Animal
Faeces_associated_gemycircularvirus-11	Unknown
Faeces_associated_gemycircularvirus-12	Unknown
Human_plasma-associated_gemycircularvirus	Animal
Gossypium_darwinii_symptomless_virus	Plant
Malvastrum_yellow_mosaic_virus	Plant
Tomato_yellow_leaf_curl_China_virus	Plant
Alfalfa_leaf_curl_virus	Plant
French_bean_severe_leaf_curl_virus	Plant
Horseradish_curly_top_virus	Plant
Spinach_severe_curly_top_virus	Plant
Eragrostis_curvula_streak_virus	Plant
Grapevine_red_blotch_virus	Plant
Axonopus_compressus_streak_virus	Plant
Eragrostis_minor_streak_virus	Plant
Oat_dwarf_virus	Plant
Tomato_pseudo-curly_top_virus	Plant
Turnip_curly_top_virus	Plant
Turnip_leaf_roll_virus	Plant
Barbel_circovirus	Animal
Porcine_circovirus-1	Animal
Feline_cyclovirus	Animal
Dragonfly_associated_cyclovirus-2	Animal
