Strain	Lineage	Continent	Color
710.1	GPL		Green
711.1	GPL		Red
739	GPL		Red
02.OZ	GPL	Australia	Red
03.OZ	GPL	Australia	Red
06.OZ	GPL	Australia	Red
07.OZ	GPL	Australia	Red
08MG02	GPL	Australia	Red
08MG05	GPL	Australia	Red
09.OZ	GPL	Australia	Red
11.OZ	GPL	Australia	Red
12.OZ	GPL	Australia	Red
13.OZ	GPL	Australia	Red
14.OZ	GPL	Australia	Red
15.OZ	GPL	Australia	Red
16.OZ	GPL	Australia	Red
18.OZ	GPL	Australia	Red
20.OZ	GPL	Australia	Red
22.OZ	GPL	Australia	Red
23.OZ	GPL	Australia	Red
24.OZ	GPL	Australia	Red
25.OZ	GPL	Australia	Red
28.OZ	GPL	Australia	Red
30.OZ	GPL	Australia	Red
33.OZ	GPL	Australia	Red
34.OZ	GPL	Australia	Red
35.OZ	GPL	Australia	Red
36.OZ	GPL	Australia	Red
37.OZ	GPL	Australia	Red
38.OZ	GPL	Australia	Red
39.OZ	GPL	Australia	Red
40.OZ	GPL	Australia	Red
41.OZ	GPL	Australia	Red
42.OZ	GPL	Australia	Red
43.OZ	GPL	Australia	Red
44.OZ	GPL	Australia	Red
45.OZ	GPL	Australia	Red
46.OZ	GPL	Australia	Red
47.OZ	GPL	Australia	Red
49.OZ	GPL	Australia	Red
Acherito.1.215	GPL		Red
Acherito.3.115	GPL		Red
Acherito.4.115	GPL		Red
Acherito.5.215	GPL		Red
Acherito.c15	GPL		Red
Acherito.d15	GPL		Red
ACONCH	GPL		Red
ADMALA	GPL		Red
ANS13No1	GPL		Red
ANS13No10	GPL		Red
ANS13No12	GPL		Red
ANS13No4	GPL		Red
ANS13No7	GPL		Red
Ansabere.6.115	GPL		Red
AoCH15B	GPL		Red
AP15IT	GPL		Red
APEPCH	GPL		Red
Arlet.a15	GPL		Red
Arlet.K15	GPL		Red
Arlet13No1	GPL		Red
Arlet13No2	GPL		Red
Arlet13No4	GPL		Red
Arlet13No6	GPL		Red
Arlet13No8	GPL		Red
AULFR	GPL		Red
AVS2	GPL		Red
AVS4	GPL		Red
AVS7	GPL		Red
BAVBRUCH1	GPL		Red
BAVOBER1	GPL		Red
BAVOBER2	GPL		Red
BAVOBER3	GPL		Red
BdAus1	GPL		Red
BdAus2	GPL		Red
BdAus3	GPL		Red
BdAus4	GPL		Red
BdAus5	GPL		Red
BdAus6	GPL		Red
BdAus8	GPL		Red
