ID	Host
Entamoeba-associated_CRESS_DNA_virus3	Protist
BGDaV2	Fungi
BdDV1	Fungi
DCCV-5	Unknown
PCV2	Animal
PICV	Animal
GOCV	Animal
CACV	Animal
Giardia_DNA_virus_1	Protist
Wastewater_DNA_virus_1	Unknown
Wastewater_DNA_virus_2	Unknown
Giardia_DNA_virus_2	Protist
Feline_KU14_Virus	Animal
Phylloscopus_fuscatus_DNAvirus	Animal
Luscinia_calliope_DNAvirus	Animal
Otus_scops_DNAvirus	Animal
Tarsiger_cyanurus_DNAvirus	Animal
Periparus_ater_DNAvirus	Animal
Garrulus_glandarius_circular_virus_1	Animal
Odonata_circular_virus13	Animal
Cecropis_daurica_DNAvirus	Animal
Grus_japonensis_DNAvirus	Animal
Emberiza_rustica_DNAvirus	Animal
Odonata_circular_virus18	Animal
Wastewater_DNA_virus_3	Unknown
Nandayus_nenday_DNAvirus	Animal
Syrmaticus_ellioti_DNAvirus	Animal
Lorikeet_DNAvirus	Animal
Grapevine_geminivirus	Plant
Apple_geminivirus_PL2015	Plant
Soybean_geminivirus_A	Plant
Tomato_geminivirus_1	Plant
Cassava_gemycircularvirus_1	Plant
Faeces_gemycircularvirus_20	Unknown
Dragonfly_circular_virus_2	Animal
Faeces_gemycircularvirus_18	Unknown
Faeces_gemycircularvirus_4	Unknown
Faeces_gemycircularvirus_6	Unknown
Faeces_gemycircularvirus_19	Unknown
Sewage_derived_gemycircularvirus_1	Unknown
Faeces_gemycircularvirus_16	Unknown
SSHADV1	Fungi
Dragonfly_circular_virus_3	Animal
Faeces_gemycircularvirus_15	Unknown
Faeces_gemycircularvirus_14	Unknown
Pacific_flying_fox_gemycircularvirus1	Animal
Sewage_gemycircularvirus_5	Unknown
Faeces_gemycircularvirus_10	Unknown
Badger_gemykibivirus_1	Animal
Blackbird_gemykibivirus_1	Animal
Pacific_flying_fox_gemycircularvirus12	Animal
Pacific_flying_fox_gemycircularvirus6	Animal
Pacific_flying_fox_gemycircularvirus7	Animal
Sewage_gemycircularvirus_4	Unknown
Caribou_feces_gemycircularvirus	Animal
HCBI9.212_virus	Unknown
Faeces_gemycircularvirus_11	Unknown
Faeces_gemycircularvirus_12	Unknown
Human_plasma_gemycircularvirus	Animal
Gossypium_darwinii_virus	Plant
Malvastrum_yellow_mosaic_virus	Plant
TYLCC	Plant
Alfalfa_leaf_curl_virus	Plant
French_bean_severe_leaf_curl_virus	Plant
Horseradish_curly_top_virus	Plant
Spinach_severe_curly_top_virus	Plant
ECSVG	Plant
Grapevine_red_blotch_virus	Plant
Axonopus_compressus_streak_virus	Plant
Eragrostis_minor_streak_virus	Plant
Oat_dwarf_virus	Plant
TPCTV	Plant
TCTVB	Plant
Turnip_leaf_roll_virus	Plant
Barbel_circovirus	Plant
PCV1	Animal
Dragonfly_cyclovirus_2	Animal
Feline_cyclovirus	Animal
FgGV1	Fungi
