seq_id	start	end	strand	Organism
scaffold_10	21689	22605	+	BdDV1
scaffold_10	22642	23510	-	BdDV1
scaffold_10	23863	24569	+	BdDV1
scaffold_10	24849	25472	+	BdDV1
scaffold_10	27314	28583	-	CLFT044
scaffold_10	29396	33369	+	CLFT044
scaffold_10	36073	36396	-	CLFT044
scaffold_10	36545	37822	-	CLFT044
scaffold_10	37840	39024	-	CLFT044
scaffold_10	39077	39496	+	CLFT044
scaffold_10	40175	41377	-	CLFT044
scaffold_10	45649	46491	+	CLFT044
scaffold_10	52409	53550	+	CLFT044
scaffold_10	54425	54946	-	CLFT044
scaffold_10	58039	58978	-	CLFT044
scaffold_10	59383	59670	+	CLFT044
scaffold_10	60489	61576	+	CLFT044
scaffold_10	61999	63770	-	CLFT044
scaffold_10	63800	65785	+	CLFT044
scaffold_10	69437	71094	+	CLFT044
scaffold_10	73625	74734	+	CLFT044
scaffold_10	78251	79057	-	CLFT044
scaffold_10	80494	82146	-	CLFT044
scaffold_10	82948	84599	+	CLFT044
scaffold_10	86071	86906	+	CLFT044
scaffold_10	88011	88652	-	CLFT044
scaffold_10	90768	93421	-	CLFT044
scaffold_10	95168	96205	+	CLFT044
scaffold_10	97751	99301	+	CLFT044
scaffold_10	100046	101189	+	CLFT044
scaffold_10	101671	103132	+	CLFT044
scaffold_10	103677	104803	+	CLFT044
scaffold_10	104804	106741	-	CLFT044
scaffold_10	106762	110043	-	CLFT044
scaffold_10	110358	114382	-	CLFT044
scaffold_10	114375	116507	-	CLFT044
scaffold_10	117513	118787	+	CLFT044
scaffold_10	119181	120067	+	CLFT044
scaffold_10	120474	121661	-	CLFT044
scaffold_10	122229	123377	+	CLFT044
scaffold_10	123726	128112	-	CLFT044
scaffold_10	128707	131418	-	CLFT044
scaffold_10	132151	134851	+	CLFT044
scaffold_10	134919	135721	+	CLFT044
scaffold_10	135857	137363	-	CLFT044
scaffold_10	137475	143262	+	CLFT044
scaffold_10	143370	144932	-	CLFT044
scaffold_10	145100	146503	+	CLFT044
scaffold_10	146596	147405	-	CLFT044
scaffold_10	147721	148722	-	CLFT044
scaffold_10	149026	150726	-	CLFT044
scaffold_10	150799	151771	-	CLFT044
scaffold_10	152075	154621	-	CLFT044
scaffold_10	154923	157563	-	CLFT044
scaffold_10	157770	160100	+	CLFT044
scaffold_10	160041	161629	-	CLFT044
scaffold_10	162043	163624	-	CLFT044
scaffold_10	165344	166216	+	CLFT044
scaffold_10	166683	167895	+	CLFT044
scaffold_10	167974	169400	+	CLFT044
scaffold_10	169501	173435	-	CLFT044
scaffold_10	174294	176234	+	CLFT044
scaffold_10	176440	179540	-	CLFT044
scaffold_10	179576	179935	-	CLFT044
scaffold_10	180083	182285	-	CLFT044
scaffold_10	182650	184268	+	CLFT044
scaffold_10	184269	187934	-	CLFT044
scaffold_10	188684	190922	-	CLFT044
scaffold_10	190974	193928	+	CLFT044
scaffold_10	194751	196399	+	CLFT044
scaffold_10	197418	198340	+	CLFT044
scaffold_10	200258	201807	+	CLFT044
scaffold_10	202765	204864	+	CLFT044
scaffold_10	205130	206841	+	CLFT044
scaffold_10	207138	208062	+	CLFT044
scaffold_10	208790	209238	-	CLFT044
scaffold_10	209376	209766	-	CLFT044
scaffold_10	210104	213435	+	CLFT044
scaffold_10	213537	214816	+	CLFT044
scaffold_10	215081	215920	+	CLFT044
scaffold_10	216064	219059	-	CLFT044
scaffold_10	219540	222251	-	CLFT044
scaffold_10	222421	223182	+	CLFT044
scaffold_10	223816	224586	+	CLFT044
scaffold_10	225130	226155	-	CLFT044
scaffold_10	226619	229157	+	CLFT044
scaffold_10	229366	230312	-	CLFT044
scaffold_10	230512	231846	-	CLFT044
scaffold_10	231888	232542	+	CLFT044
scaffold_10	232655	234165	+	CLFT044
scaffold_10	234416	236890	-	CLFT044
scaffold_10	237128	240500	-	CLFT044
scaffold_10	241860	243059	-	CLFT044
scaffold_10	243705	245742	-	CLFT044
scaffold_10	246387	247376	-	CLFT044
scaffold_10	248271	248820	+	CLFT044
scaffold_10	248987	252844	+	CLFT044
scaffold_10	253285	254392	+	CLFT044
scaffold_10	254393	256683	-	CLFT044
scaffold_10	256953	260775	-	CLFT044
scaffold_10	260915	261751	+	CLFT044
scaffold_10	261821	264457	+	CLFT044
scaffold_10	264808	266504	+	CLFT044
scaffold_10	267116	268839	+	CLFT044
scaffold_10	269825	272109	+	CLFT044
scaffold_10	272935	274941	+	CLFT044
scaffold_10	274977	275326	+	CLFT044
scaffold_10	275580	276209	-	CLFT044
scaffold_10	276377	277933	+	CLFT044
scaffold_10	278298	278942	-	CLFT044
scaffold_10	279066	281597	+	CLFT044
scaffold_10	281692	282870	-	CLFT044
scaffold_10	282882	284672	-	CLFT044
scaffold_10	285064	286862	-	CLFT044
scaffold_10	286949	288469	-	CLFT044
scaffold_10	288740	290422	-	CLFT044
scaffold_10	290546	292273	-	CLFT044
scaffold_10	292375	294499	-	CLFT044
scaffold_10	294869	296476	-	CLFT044
scaffold_10	298160	302761	+	CLFT044
scaffold_10	300999	302510	-	CLFT044
scaffold_10	303084	303932	+	CLFT044
scaffold_10	305669	307673	+	CLFT044
scaffold_10	309111	316399	-	CLFT044
scaffold_10	316797	318258	+	CLFT044
scaffold_10	318476	320474	+	CLFT044
scaffold_10	320635	320706	-	CLFT044
scaffold_10	322807	324767	+	CLFT044
scaffold_10	325333	327021	-	CLFT044
scaffold_10	327496	329516	-	CLFT044
scaffold_10	329874	334679	-	CLFT044
scaffold_10	332408	334597	+	CLFT044
scaffold_10	334710	336526	+	CLFT044
scaffold_10	336713	339691	+	CLFT044
scaffold_10	339693	340834	+	CLFT044
scaffold_10	340892	342235	-	CLFT044
scaffold_10	342275	342607	+	CLFT044
scaffold_10	342984	344201	-	CLFT044
scaffold_10	344397	345662	+	CLFT044
scaffold_10	346043	346843	-	CLFT044
scaffold_10	347408	347480	+	CLFT044
scaffold_10	348171	352356	+	CLFT044
scaffold_10	352432	352758	-	CLFT044
scaffold_10	352827	353381	+	CLFT044
scaffold_10	353471	355011	+	CLFT044
scaffold_10	355081	355153	-	CLFT044
scaffold_10	356419	361440	-	CLFT044
scaffold_10	361630	362549	-	CLFT044
scaffold_10	362563	365199	+	CLFT044
scaffold_10	365238	366362	-	CLFT044
scaffold_10	366588	367973	-	CLFT044
