Scaffold	Start	Coverage	Blanked	Score
scaffold_10	21199	5	0	0.301029996
scaffold_10	21200	5	1	0.301029996
scaffold_10	21201	5	2	0.301029996
scaffold_10	21202	5	3	0.301029996
scaffold_10	21203	5	4	0.301029996
scaffold_10	21204	5	5	0.301029996
scaffold_10	21205	5	6	0.301029996
scaffold_10	21206	5	7	0.301029996
scaffold_10	21207	5	8	0.301029996
scaffold_10	21208	5	9	0.301029996
scaffold_10	21209	5	10	0.301029996
scaffold_10	21210	5	11	0.301029996
scaffold_10	21211	5	12	0.301029996
scaffold_10	21212	5	13	0.301029996
scaffold_10	21213	5	14	0.301029996
scaffold_10	21214	5	15	0.301029996
scaffold_10	21215	5	16	0.301029996
scaffold_10	21216	5	17	0.301029996
scaffold_10	21217	5	18	0.301029996
scaffold_10	21218	5	19	0.301029996
scaffold_10	21219	5	20	0.301029996
scaffold_10	21220	5	21	0.301029996
scaffold_10	21221	5	22	0.301029996
scaffold_10	21222	5	23	0.301029996
scaffold_10	21223	5	24	0.301029996
scaffold_10	21224	5	25	0.301029996
scaffold_10	21225	5	26	0.301029996
scaffold_10	21226	5	27	0.301029996
scaffold_10	21227	5	28	0.301029996
scaffold_10	21228	5	29	0.301029996
scaffold_10	21229	5	30	0.301029996
scaffold_10	21230	5	31	0.301029996
scaffold_10	21231	5	32	0.301029996
scaffold_10	21232	5	33	0.301029996
scaffold_10	21233	5	34	0.301029996
scaffold_10	21234	5	35	0.301029996
scaffold_10	21235	5	36	0.301029996
scaffold_10	21236	5	37	0.301029996
scaffold_10	21237	5	38	0.301029996
scaffold_10	21238	5	39	0.301029996
scaffold_10	21239	5	40	0.301029996
scaffold_10	21240	5	41	0.301029996
scaffold_10	21241	5	42	0.301029996
scaffold_10	21242	5	43	0.301029996
scaffold_10	21243	5	44	0.301029996
scaffold_10	21244	5	45	0.301029996
scaffold_10	21245	5	46	0.301029996
scaffold_10	21246	5	47	0.301029996
scaffold_10	21247	5	48	0.301029996
scaffold_10	21248	5	49	0.301029996
scaffold_10	21249	5	50	0.301029996
scaffold_10	21250	5	51	0.301029996
scaffold_10	21251	5	52	0.301029996
scaffold_10	21252	5	53	0.301029996
scaffold_10	21253	5	54	0.301029996
scaffold_10	21254	5	55	0.301029996
scaffold_10	21255	5	56	0.301029996
scaffold_10	21256	5	57	0.301029996
scaffold_10	21257	5	58	0.301029996
scaffold_10	21258	5	59	0.301029996
scaffold_10	21259	5	60	0.301029996
scaffold_10	21260	5	61	0.301029996
scaffold_10	21261	5	62	0.301029996
scaffold_10	21262	5	63	0.301029996
scaffold_10	21263	5	64	0.301029996
scaffold_10	21264	5	65	0.301029996
scaffold_10	21265	5	66	0.301029996
scaffold_10	21266	5	67	0.301029996
scaffold_10	21267	5	68	0.301029996
scaffold_10	21268	5	69	0.301029996
scaffold_10	21269	5	70	0.301029996
scaffold_10	21270	5	71	0.301029996
scaffold_10	21271	5	72	0.301029996
scaffold_10	21272	5	73	0.301029996
scaffold_10	21273	5	74	0.301029996
scaffold_10	21274	5	75	0.301029996
scaffold_10	21275	5	76	0.301029996
scaffold_10	21276	5	77	0.301029996
scaffold_10	21277	5	78	0.301029996
scaffold_10	21278	5	79	0.301029996
scaffold_10	21279	5	80	0.301029996
scaffold_10	21280	5	81	0.301029996
scaffold_10	21281	5	82	0.301029996
scaffold_10	21282	5	83	0.301029996
scaffold_10	21283	5	84	0.301029996
scaffold_10	21284	5	85	0.301029996
scaffold_10	21285	5	86	0.301029996
scaffold_10	21286	5	87	0.301029996
scaffold_10	21287	5	88	0.301029996
scaffold_10	21288	5	89	0.301029996
scaffold_10	21289	5	90	0.301029996
scaffold_10	21290	5	91	0.301029996
scaffold_10	21291	5	92	0.301029996
scaffold_10	21292	5	93	0.301029996
scaffold_10	21293	5	94	0.301029996
scaffold_10	21294	5	95	0.301029996
scaffold_10	21295	5	96	0.301029996
scaffold_10	21296	5	97	0.301029996
scaffold_10	21297	5	98	0.301029996
scaffold_10	21298	5	99	0.301029996
scaffold_10	21299	5	100	0.301029996
scaffold_10	21300	5	101	0.301029996
scaffold_10	21301	5	102	0.301029996
scaffold_10	21302	5	103	0.301029996
scaffold_10	21303	5	104	0.301029996
scaffold_10	21304	5	105	0.301029996
scaffold_10	21305	5	106	0.301029996
scaffold_10	21306	5	107	0.301029996
scaffold_10	21307	5	108	0.301029996
scaffold_10	21308	5	109	0.301029996
scaffold_10	21309	5	110	0.301029996
scaffold_10	21310	5	111	0.301029996
scaffold_10	21311	5	112	0.301029996
scaffold_10	21312	5	113	0.301029996
scaffold_10	21313	5	114	0.301029996
scaffold_10	21314	5	115	0.301029996
scaffold_10	21315	5	116	0.301029996
scaffold_10	21316	5	117	0.301029996
scaffold_10	21317	5	118	0.301029996
scaffold_10	21318	5	119	0.301029996
scaffold_10	21319	5	120	0.301029996
scaffold_10	21320	5	121	0.301029996
scaffold_10	21321	5	122	0.301029996
scaffold_10	21322	5	123	0.301029996
scaffold_10	21323	5	124	0.301029996
scaffold_10	21324	5	125	0.301029996
scaffold_10	21325	5	126	0.301029996
scaffold_10	21326	5	127	0.301029996
scaffold_10	21327	5	128	0.301029996
scaffold_10	21328	5	129	0.301029996
scaffold_10	21329	5	130	0.301029996
scaffold_10	21330	5	131	0.301029996
scaffold_10	21331	5	132	0.301029996
scaffold_10	21332	5	133	0.301029996
scaffold_10	21333	5	134	0.301029996
scaffold_10	21334	5	135	0.301029996
scaffold_10	21335	5	136	0.301029996
scaffold_10	21336	5	137	0.301029996
scaffold_10	21337	5	138	0.301029996
scaffold_10	21338	5	139	0.301029996
scaffold_10	21339	5	140	0.301029996
scaffold_10	21340	5	141	0.301029996
scaffold_10	21341	5	142	0.301029996
scaffold_10	21342	5	143	0.301029996
scaffold_10	21343	5	144	0.301029996
scaffold_10	21344	5	145	0.301029996
scaffold_10	21345	5	146	0.301029996
scaffold_10	21346	5	147	0.301029996
scaffold_10	21347	5	148	0.301029996
scaffold_10	21348	5	149	0.301029996
scaffold_10	21349	5	150	0.301029996
scaffold_10	21350	5	151	0.301029996
scaffold_10	21351	5	152	0.301029996
scaffold_10	21352	5	153	0.301029996
scaffold_10	21353	5	154	0.301029996
scaffold_10	21354	5	155	0.301029996
scaffold_10	21355	5	156	0.477121255
scaffold_10	21356	5	157	0.477121255
scaffold_10	21357	5	158	0.698970004
scaffold_10	21358	5	159	0.77815125
scaffold_10	21359	5	160	0.77815125
scaffold_10	21360	5	161	0.903089987
scaffold_10	21361	5	162	1.041392685
scaffold_10	21362	5	163	1.230448921
scaffold_10	21363	5	164	1.397940009
scaffold_10	21364	5	165	1.62324929
scaffold_10	21365	5	166	1.806179974
scaffold_10	21366	5	167	1.806179974
scaffold_10	21367	5	168	1.819543936
scaffold_10	21368	5	169	1.819543936
scaffold_10	21369	5	170	1.84509804
scaffold_10	21370	5	171	1.982271233
scaffold_10	21371	5	172	1.982271233
scaffold_10	21372	5	173	2.178976947
scaffold_10	21373	5	174	2.212187604
scaffold_10	21374	5	175	2.209515015
scaffold_10	21375	5	176	2.271841607
scaffold_10	21376	5	177	2.28780173
scaffold_10	21377	5	178	2.294466226
scaffold_10	21378	5	179	2.294466226
scaffold_10	21379	5	180	2.294466226
scaffold_10	21380	5	181	2.298853076
scaffold_10	21381	5	182	2.305351369
scaffold_10	21382	5	183	2.303196057
scaffold_10	21383	5	184	2.324282455
scaffold_10	21384	5	185	2.326335861
scaffold_10	21385	5	186	2.324282455
scaffold_10	21386	5	187	2.328379603
scaffold_10	21387	5	188	2.330413773
scaffold_10	21388	5	189	2.326335861
scaffold_10	21389	5	190	2.352182518
scaffold_10	21390	5	191	2.367355921
scaffold_10	21391	5	192	2.359835482
scaffold_10	21392	5	193	2.367355921
scaffold_10	21393	5	194	2.367355921
scaffold_10	21394	5	195	2.367355921
scaffold_10	21395	5	196	2.372912003
scaffold_10	21396	5	197	2.372912003
scaffold_10	21397	5	198	2.372912003
scaffold_10	21398	5	199	2.380211242
scaffold_10	21399	5	200	2.374748346
scaffold_10	21400	5	201	2.390935107
scaffold_10	21401	5	202	2.399673721
scaffold_10	21402	5	203	2.403120521
scaffold_10	21403	5	204	2.404833717
scaffold_10	21404	5	205	2.409933123
scaffold_10	21405	5	206	2.409933123
scaffold_10	21406	5	207	2.404833717
scaffold_10	21407	5	208	2.418301291
scaffold_10	21408	5	209	2.419955748
scaffold_10	21409	5	210	2.434568904
scaffold_10	21410	5	211	2.434568904
scaffold_10	21411	5	212	2.442479769
scaffold_10	21412	5	213	2.445604203
scaffold_10	21413	5	214	2.450249108
scaffold_10	21414	5	215	2.451786436
scaffold_10	21415	5	216	2.46686762
scaffold_10	21416	5	217	2.46834733
scaffold_10	21417	5	218	2.46834733
scaffold_10	21418	5	219	2.471291711
scaffold_10	21419	5	220	2.469822016
scaffold_10	21420	5	221	2.472756449
scaffold_10	21421	5	222	2.509202522
scaffold_10	21422	5	223	2.511883361
scaffold_10	21423	5	224	2.507855872
scaffold_10	21424	5	225	2.509202522
scaffold_10	21425	5	226	2.51054501
