seq_id	start	end	strand	Organism
CLFT071	1	1738	+	CLFT071
CLFT071	1823	3080	-	CLFT071
CLFT071	3132	3761	+	CLFT071
CLFT071	5291	8161	-	CLFT071
CLFT071	8162	10427	+	CLFT071
CLFT071	11376	13802	+	CLFT071
CLFT071	13933	15955	-	CLFT071
CLFT071	16160	22815	-	CLFT071
CLFT071	16160	17342	+	CLFT071
CLFT071	22943	24353	+	CLFT071
CLFT071	25393	26330	-	CLFT071
CLFT071	26467	27697	+	CLFT071
CLFT071	27840	29474	-	CLFT071
CLFT071	29633	30786	+	CLFT071
CLFT071	31014	32014	-	CLFT071
CLFT071	33040	35992	-	CLFT071
CLFT071	36013	36703	-	CLFT071
CLFT071	36774	42564	+	CLFT071
CLFT071	42662	44003	+	CLFT071
CLFT071	44077	47073	-	CLFT071
CLFT071	47187	50883	+	CLFT071
CLFT071	50976	52471	+	CLFT071
CLFT071	52506	54966	-	CLFT071
CLFT071	55016	57266	-	CLFT071
CLFT071	58324	58957	+	CLFT071
CLFT071	59783	60707	+	CLFT071
CLFT071	60729	60926	-	CLFT071
CLFT071	62012	62332	-	CLFT071
CLFT071	67469	68568	-	CLFT071
CLFT071	68569	69596	+	CLFT071
CLFT071	70451	71176	-	CLFT071
CLFT071	71542	73697	+	CLFT071
CLFT071	75453	76253	+	CLFT071
CLFT071	76702	79012	+	CLFT071
CLFT071	79136	84119	-	CLFT071
CLFT071	84204	87572	-	CLFT071
CLFT071	87594	88600	+	CLFT071
CLFT071	88478	90148	-	CLFT071
CLFT071	90293	94884	+	CLFT071
CLFT071	95170	96007	+	CLFT071
CLFT071	95730	97027	-	CLFT071
CLFT071	97150	98187	-	CLFT071
CLFT071	98502	100225	+	CLFT071
CLFT071	100603	102485	-	CLFT071
CLFT071	102509	104864	+	CLFT071
CLFT071	105359	106382	+	CLFT071
CLFT071	106531	108068	+	CLFT071
CLFT071	108271	113662	-	CLFT071
CLFT071	113707	114909	-	CLFT071
CLFT071	114447	116587	+	CLFT071
CLFT071	116637	117813	-	CLFT071
CLFT071	117893	120535	+	CLFT071
CLFT071	120578	121974	+	CLFT071
CLFT071	122087	123065	-	CLFT071
CLFT071	125164	125547	-	CLFT071
CLFT071	126129	126757	-	CLFT071
CLFT071	127261	127549	-	CLFT071
CLFT071	130902	132237	-	CLFT071
CLFT071	132238	134038	+	CLFT071
CLFT071	134046	134779	+	CLFT071
CLFT071	135194	137422	-	CLFT071
CLFT071	137782	139004	-	CLFT071
CLFT071	139078	140619	+	CLFT071
CLFT071	142240	143359	+	CLFT071
CLFT071	143912	145992	-	CLFT071
CLFT071	146870	147070	+	CLFT071
CLFT071	147541	149085	+	CLFT071
CLFT071	149089	150922	+	CLFT071
CLFT071	150962	153490	-	CLFT071
CLFT071	154233	155162	-	CLFT071
CLFT071	157696	158716	+	CLFT071
CLFT071	158760	175310	+	CLFT071
CLFT071	173513	175297	-	CLFT071
CLFT071	175558	176334	+	CLFT071
CLFT071	176459	177093	-	CLFT071
CLFT071	177160	177824	+	CLFT071
CLFT071	178259	179792	+	CLFT071
CLFT071	179972	181202	-	CLFT071
CLFT071	181333	183229	-	CLFT071
CLFT071	183384	184281	+	CLFT071
CLFT071	184375	185291	-	CLFT071
CLFT071	185422	189659	-	CLFT071
CLFT071	190266	192174	-	CLFT071
CLFT071	192416	193510	+	CLFT071
CLFT071	193511	194862	-	CLFT071
CLFT071	197120	197607	+	CLFT071
CLFT071	197559	198271	+	CLFT071
CLFT071	198894	199477	+	CLFT071
CLFT071	199769	199942	+	CLFT071
CLFT071	200327	201759	+	CLFT071
CLFT071	202373	205012	+	CLFT071
CLFT071	205207	207153	+	CLFT071
CLFT071	207454	210610	+	CLFT071
CLFT071	210999	213547	+	CLFT071
CLFT071	213649	214098	-	CLFT071
CLFT071	214231	216401	+	CLFT071
CLFT071	215985	217624	-	CLFT071
CLFT071	218259	220003	+	CLFT071
CLFT071	220120	224951	+	CLFT071
CLFT071	225008	227630	+	CLFT071
CLFT071	227797	231465	-	CLFT071
CLFT071	232751	234394	+	CLFT071
CLFT071	234618	236281	+	CLFT071
CLFT071	236453	238963	-	CLFT071
CLFT071	238964	240380	-	CLFT071
CLFT071	240432	242114	-	CLFT071
CLFT071	242315	243364	-	CLFT071
CLFT071	243668	244288	+	CLFT071
CLFT071	244307	249276	-	CLFT071
CLFT071	249235	249751	+	CLFT071
CLFT071	250742	254508	+	CLFT071
CLFT071	254945	255547	+	CLFT071
