Scaffold	Start	Coverage	Blanked
scaffold_10	21539	1	340
scaffold_10	21540	1	341
scaffold_10	21541	1	342
scaffold_10	21542	1	343
scaffold_10	21543	1	344
scaffold_10	21544	1	345
scaffold_10	21545	1	346
scaffold_10	21546	1	347
scaffold_10	21547	1	348
scaffold_10	21548	1	349
scaffold_10	21549	1	350
scaffold_10	21550	1	351
scaffold_10	21551	1	352
scaffold_10	21552	1	353
scaffold_10	21553	1	354
scaffold_10	21554	1	355
scaffold_10	21555	1	356
scaffold_10	21556	1	357
scaffold_10	21557	1	358
scaffold_10	21558	1	359
scaffold_10	21559	1	360
scaffold_10	21560	1	361
scaffold_10	21561	1	362
scaffold_10	21562	1	363
scaffold_10	21563	1	364
scaffold_10	21564	1	365
scaffold_10	21565	1	366
scaffold_10	21566	1	367
scaffold_10	21567	1	368
scaffold_10	21568	1	369
scaffold_10	21569	1	370
scaffold_10	21570	1	371
scaffold_10	21571	1	372
scaffold_10	21572	1	373
scaffold_10	21573	1	374
scaffold_10	21574	1	375
scaffold_10	21575	1	376
scaffold_10	21576	1	377
scaffold_10	21577	1	378
scaffold_10	21578	1	379
scaffold_10	21579	1	380
scaffold_10	21580	1	381
scaffold_10	21581	1	382
scaffold_10	21582	1	383
scaffold_10	21583	1	384
scaffold_10	21584	1	385
scaffold_10	21585	1	386
scaffold_10	21586	1	387
scaffold_10	21587	1	388
scaffold_10	21588	1	389
scaffold_10	21589	1	390
scaffold_10	21590	1	391
scaffold_10	21591	1	392
scaffold_10	21592	1	393
scaffold_10	21593	1	394
scaffold_10	21594	1	395
scaffold_10	21595	1	396
scaffold_10	21596	1	397
scaffold_10	21597	1	398
scaffold_10	21598	1	399
scaffold_10	21599	1	400
scaffold_10	21600	1	401
scaffold_10	21601	1	402
scaffold_10	21602	1	403
scaffold_10	21603	1	404
scaffold_10	21604	1	405
scaffold_10	21605	1	406
scaffold_10	21606	1	407
scaffold_10	21607	1	408
scaffold_10	21608	1	409
scaffold_10	21609	1	410
scaffold_10	21610	1	411
scaffold_10	21611	1	412
scaffold_10	21612	1	413
scaffold_10	21613	1	414
scaffold_10	21614	1	415
scaffold_10	21615	1	416
scaffold_10	21616	1	417
scaffold_10	21617	1	418
scaffold_10	21618	1	419
scaffold_10	21619	1	420
scaffold_10	21620	1	421
scaffold_10	21621	1	422
scaffold_10	21622	1	423
scaffold_10	21623	1	424
scaffold_10	21624	1	425
scaffold_10	21625	1	426
scaffold_10	21626	1	427
scaffold_10	21627	1	428
scaffold_10	21628	1	429
scaffold_10	21629	1	430
scaffold_10	21630	1	431
scaffold_10	21631	1	432
scaffold_10	21632	1	433
scaffold_10	21633	1	434
scaffold_10	21634	1	435
scaffold_10	21635	1	436
scaffold_10	21636	1	437
scaffold_10	21637	1	438
scaffold_10	21638	1	439
scaffold_10	21639	1	440
scaffold_10	21640	1	441
scaffold_10	21641	1	442
scaffold_10	21642	1	443
scaffold_10	21643	1	444
scaffold_10	21644	1	445
scaffold_10	21645	1	446
scaffold_10	21646	1	447
scaffold_10	21647	1	448
scaffold_10	21648	1	449
scaffold_10	21649	1	450
scaffold_10	21650	1	451
scaffold_10	21651	1	452
scaffold_10	21652	1	453
scaffold_10	21653	1	454
scaffold_10	21654	1	455
scaffold_10	21655	1	456
scaffold_10	21656	1	457
scaffold_10	21657	1	458
scaffold_10	21658	1	459
scaffold_10	21659	1	460
scaffold_10	21660	1	461
scaffold_10	21661	1	462
scaffold_10	21662	1	463
scaffold_10	21663	1	464
scaffold_10	21664	1	465
scaffold_10	21665	1	466
scaffold_10	21666	1	467
scaffold_10	21667	1	468
scaffold_10	21668	1	469
scaffold_10	21669	1	470
scaffold_10	21670	1	471
scaffold_10	21671	1	472
scaffold_10	21672	1	473
scaffold_10	21673	1	474
scaffold_10	21674	1	475
scaffold_10	21675	1	476
scaffold_10	21676	1	477
scaffold_10	21677	1	478
scaffold_10	21678	1	479
scaffold_10	21679	1	480
scaffold_10	21680	1	481
scaffold_10	21681	1	482
scaffold_10	21682	1	483
scaffold_10	21683	1	484
scaffold_10	21684	1	485
scaffold_10	21685	1	486
scaffold_10	21686	1	487
scaffold_10	21687	1	488
scaffold_10	21688	1	489
scaffold_10	21689	1	490
scaffold_10	21690	1	491
scaffold_10	21691	1	492
scaffold_10	21692	1	493
scaffold_10	21693	1	494
scaffold_10	21694	2	495
scaffold_10	21695	2	496
scaffold_10	21696	4	497
scaffold_10	21697	5	498
scaffold_10	21698	5	499
scaffold_10	21699	6	500
scaffold_10	21700	11	501
scaffold_10	21701	17	502
scaffold_10	21702	25	503
scaffold_10	21703	42	504
scaffold_10	21704	63	505
scaffold_10	21705	64	506
scaffold_10	21706	66	507
scaffold_10	21707	66	508
scaffold_10	21708	70	509
scaffold_10	21709	96	510
scaffold_10	21710	96	511
scaffold_10	21711	154	512
scaffold_10	21712	167	513
scaffold_10	21713	167	514
scaffold_10	21714	191	515
scaffold_10	21715	198	516
scaffold_10	21716	202	517
scaffold_10	21717	202	518
scaffold_10	21718	202	519
scaffold_10	21719	204	520
scaffold_10	21720	207	521
scaffold_10	21721	206	522
scaffold_10	21722	217	523
scaffold_10	21723	217	524
scaffold_10	21724	216	525
scaffold_10	21725	218	526
scaffold_10	21726	219	527
scaffold_10	21727	218	528
scaffold_10	21728	229	529
scaffold_10	21729	238	530
scaffold_10	21730	235	531
scaffold_10	21731	238	532
scaffold_10	21732	238	533
scaffold_10	21733	238	534
scaffold_10	21734	241	535
scaffold_10	21735	241	536
scaffold_10	21736	241	537
scaffold_10	21737	245	538
scaffold_10	21738	243	539
scaffold_10	21739	251	540
scaffold_10	21740	256	541
scaffold_10	21741	258	542
scaffold_10	21742	259	543
scaffold_10	21743	262	544
scaffold_10	21744	263	545
scaffold_10	21745	259	546
scaffold_10	21746	268	547
scaffold_10	21747	270	548
scaffold_10	21748	278	549
scaffold_10	21749	278	550
scaffold_10	21750	283	551
scaffold_10	21751	285	552
scaffold_10	21752	288	553
