Strain	Lineage	BddV1	scaffold_10	start	end	coverage	Average_NCL	Coverage/AverageNCL
CCB1	CAPE	Infected	scaffold_10	8	56	3.416667	75.13	0.045476734
CCB1	CAPE	Infected	scaffold_10	285	503	8.788991	75.13	0.116983775
CCB1	CAPE	Infected	scaffold_10	528	1090	19.948399	75.13	0.265518421
CCB1	CAPE	Infected	scaffold_10	1512	1613	1.653465	75.13	0.022008053
CCB1	CAPE	Infected	scaffold_10	1750	1780	1	75.13	0.013310262
CCB1	CAPE	Infected	scaffold_10	1848	1892	1	75.13	0.013310262
CCB1	CAPE	Infected	scaffold_10	2733	3733	34.173	75.13	0.454851591
CCB1	CAPE	Infected	scaffold_10	3733	4733	54.571	75.13	0.726354319
CCB1	CAPE	Infected	scaffold_10	4733	4771	10.078947	75.13	0.134153427
CCB1	CAPE	Infected	scaffold_10	4995	5160	6.842424	75.13	0.091074458
CCB1	CAPE	Infected	scaffold_10	5165	6165	18.776	75.13	0.249913483
CCB1	CAPE	Infected	scaffold_10	6165	7165	18.384	75.13	0.244695861
CCB1	CAPE	Infected	scaffold_10	7165	7852	16.483261	75.13	0.219396526
CCB1	CAPE	Infected	scaffold_10	7910	8910	241.523	75.13	3.21473446
CCB1	CAPE	Infected	scaffold_10	8910	9910	206.693	75.13	2.751138027
CCB1	CAPE	Infected	scaffold_10	9910	10050	4.842857	75.13	0.064459697
CCB1	CAPE	Infected	scaffold_10	10082	11082	309.97	75.13	4.125781978
CCB1	CAPE	Infected	scaffold_10	11082	12082	341.084	75.13	4.539917476
CCB1	CAPE	Infected	scaffold_10	12082	13082	151.62	75.13	2.018101957
CCB1	CAPE	Infected	scaffold_10	13082	13593	90.645793	75.13	1.206519273
CCB1	CAPE	Infected	scaffold_10	13703	13935	3.741379	75.13	0.049798736
CCB1	CAPE	Infected	scaffold_10	13989	14346	4.428571	75.13	0.058945441
CCB1	CAPE	Infected	scaffold_10	14350	15350	27.443	75.13	0.365273526
CCB1	CAPE	Infected	scaffold_10	15350	15477	22.440945	75.13	0.298694862
CCB1	CAPE	Infected	scaffold_10	15746	16746	62.705	75.13	0.834619992
CCB1	CAPE	Infected	scaffold_10	16746	17746	194.734	75.13	2.591960602
CCB1	CAPE	Infected	scaffold_10	17746	18609	353.457706	75.13	4.704614748
CCB1	CAPE	Infected	scaffold_10	18646	18852	21.980583	75.13	0.292567323
CCB1	CAPE	Infected	scaffold_10	18902	19902	97.095	75.13	1.292359909
CCB1	CAPE	Infected	scaffold_10	19902	20835	109.483387	75.13	1.457252589
CCB1	CAPE	Infected	scaffold_10	20873	21873	57.933	75.13	0.771103421
CCB1	CAPE	Infected	scaffold_10	21873	22484	67.535188	75.13	0.898911061
CCB1	CAPE	Infected	scaffold_10	22528	22571	38.27907	75.13	0.509504459
CCB1	CAPE	Infected	scaffold_10	22638	23638	88.567	75.13	1.178849993
CCB1	CAPE	Infected	scaffold_10	23638	23976	30.573964	75.13	0.406947478
CCB1	CAPE	Infected	scaffold_10	23980	24368	14.06701	75.13	0.187235592
CCB1	CAPE	Infected	scaffold_10	25709	26709	345.063	75.13	4.59287901
CCB1	CAPE	Infected	scaffold_10	26709	27709	15.862	75.13	0.211127379
CCB1	CAPE	Infected	scaffold_10	27709	27741	1.8125	75.13	0.02412485
CCB1	CAPE	Infected	scaffold_10	27900	28081	2.044199	75.13	0.027208825
CCB1	CAPE	Infected	scaffold_10	28186	28420	2.474359	75.13	0.032934367
CCB1	CAPE	Infected	scaffold_10	28502	28627	1	75.13	0.013310262
CCB1	CAPE	Infected	scaffold_10	28646	29129	9.484472	75.13	0.126240809
CCB1	CAPE	Infected	scaffold_10	29160	29351	2.602094	75.13	0.034634553
CCB1	CAPE	Infected	scaffold_10	29389	29756	3.901907	75.13	0.051935405
CCB1	CAPE	Infected	scaffold_10	29759	30759	17.205	75.13	0.229003061
CCB1	CAPE	Infected	scaffold_10	30759	31180	9.855107	75.13	0.131174058
CCB1	CAPE	Infected	scaffold_10	31198	31418	16.468182	75.13	0.219195821
CCB1	CAPE	Infected	scaffold_10	31448	31760	6.596154	75.13	0.087796539
CCB1	CAPE	Infected	scaffold_10	31791	31910	1	75.13	0.013310262
CCB1	CAPE	Infected	scaffold_10	31955	32642	7.07278	75.13	0.094140556
CCB1	CAPE	Infected	scaffold_10	32836	33119	2.547703	75.13	0.033910595
CCB1	CAPE	Infected	scaffold_10	33131	33437	4.80719	75.13	0.063984959
CCB1	CAPE	Infected	scaffold_10	33618	34618	46.007	75.13	0.612365234
CCB1	CAPE	Infected	scaffold_10	34618	35618	39.709	75.13	0.528537202
CCB1	CAPE	Infected	scaffold_10	35618	36611	10.254783	75.13	0.136493851
CCB1	CAPE	Infected	scaffold_10	36625	36946	19.498442	75.13	0.259529376
CCB1	CAPE	Infected	scaffold_10	36959	37202	32.736626	75.13	0.435733076
CCB1	CAPE	Infected	scaffold_10	37216	37896	33.092647	75.13	0.440471809
CCB1	CAPE	Infected	scaffold_10	37989	38989	46.695	75.13	0.621522694
CCB1	CAPE	Infected	scaffold_10	38989	39376	16.090439	75.13	0.214167962
CCB1	CAPE	Infected	scaffold_10	39414	39704	3.444828	75.13	0.045851564
CCB1	CAPE	Infected	scaffold_10	39918	40199	13.725979	75.13	0.18269638
CCB1	CAPE	Infected	scaffold_10	40230	41230	19.177	75.13	0.255250898
CCB1	CAPE	Infected	scaffold_10	41230	42230	65.341	75.13	0.869705843
CCB1	CAPE	Infected	scaffold_10	42230	43230	46.548	75.13	0.619566085
CCB1	CAPE	Infected	scaffold_10	43230	43264	1.058824	75.13	0.014093225
CCB1	CAPE	Infected	scaffold_10	43341	43518	1.412429	75.13	0.0187998
CCB1	CAPE	Infected	scaffold_10	43533	44533	21.476	75.13	0.285851191
CCB1	CAPE	Infected	scaffold_10	44533	45422	27.806524	75.13	0.370112126
CCB1	CAPE	Infected	scaffold_10	45541	45676	8.355556	75.13	0.111214641
CCB1	CAPE	Infected	scaffold_10	45693	46693	36.788	75.13	0.489657926
CCB1	CAPE	Infected	scaffold_10	46693	46869	31.909091	75.13	0.424718368
CCB1	CAPE	Infected	scaffold_10	46882	47474	33.971284	75.13	0.452166698
CCB1	CAPE	Infected	scaffold_10	47763	48763	53.041	75.13	0.705989618
CCB1	CAPE	Infected	scaffold_10	48763	49763	58.15	75.13	0.773991748
CCB1	CAPE	Infected	scaffold_10	49763	50626	43.584009	75.13	0.580114588
CCB1	CAPE	Infected	scaffold_10	50655	51655	135.074	75.13	1.797870358
CCB1	CAPE	Infected	scaffold_10	51655	52655	94.511	75.13	1.257966192
CCB1	CAPE	Infected	scaffold_10	52655	53392	45.717775	75.13	0.608515573
CCB1	CAPE	Infected	scaffold_10	53399	54399	45.022	75.13	0.599254625
CCB1	CAPE	Infected	scaffold_10	54399	54976	8.291161	75.13	0.110357527
CCB1	CAPE	Infected	scaffold_10	55028	55363	2.719403	75.13	0.036195967
CCB1	CAPE	Infected	scaffold_10	55367	55505	3.695652	75.13	0.049190097
CCB1	CAPE	Infected	scaffold_10	55619	55791	2.331395	75.13	0.031031479
CCB1	CAPE	Infected	scaffold_10	55952	56473	19.257198	75.13	0.256318355
CCB1	CAPE	Infected	scaffold_10	56501	57501	20.058	75.13	0.266977239
CCB1	CAPE	Infected	scaffold_10	57501	58501	117.682	75.13	1.566378278
CCB1	CAPE	Infected	scaffold_10	58501	59322	61.723508	75.13	0.821556076
CCB1	CAPE	Infected	scaffold_10	59357	60357	51.298	75.13	0.682789831
CCB1	CAPE	Infected	scaffold_10	60357	61357	60.4	75.13	0.803939838
CCB1	CAPE	Infected	scaffold_10	61357	62357	131.315	75.13	1.747837082
CCB1	CAPE	Infected	scaffold_10	62357	63357	205.139	75.13	2.73045388
CCB1	CAPE	Infected	scaffold_10	63357	64035	108.59882	75.13	1.44547877
CCB1	CAPE	Infected	scaffold_10	64082	65082	40.822	75.13	0.543351524
CCB1	CAPE	Infected	scaffold_10	65082	66082	80.178	75.13	1.067190204
CCB1	CAPE	Infected	scaffold_10	66082	67082	110.866	75.13	1.47565553
CCB1	CAPE	Infected	scaffold_10	67082	68082	59.73	75.13	0.795021962
CCB1	CAPE	Infected	scaffold_10	68082	69082	42.455	75.13	0.565087182
CCB1	CAPE	Infected	scaffold_10	69082	70082	59.103	75.13	0.786676428
CCB1	CAPE	Infected	scaffold_10	70082	71082	61.84	75.13	0.823106615
CCB1	CAPE	Infected	scaffold_10	71082	72040	48.995825	75.13	0.652147278
CCB1	CAPE	Infected	scaffold_10	72050	73050	36.665	75.13	0.488020764
CCB1	CAPE	Infected	scaffold_10	73050	74050	20.813	75.13	0.277026487
CCB1	CAPE	Infected	scaffold_10	74050	75050	29.985	75.13	0.399108212
CCB1	CAPE	Infected	scaffold_10	75050	76050	31.672	75.13	0.421562625
CCB1	CAPE	Infected	scaffold_10	76050	77050	54.798	75.13	0.729375749
CCB1	CAPE	Infected	scaffold_10	77050	78050	32.23	75.13	0.428989751
CCB1	CAPE	Infected	scaffold_10	78050	78921	55.432836	75.13	0.737825582
CCB1	CAPE	Infected	scaffold_10	78943	79074	8.290076	75.13	0.110343085
CCB1	CAPE	Infected	scaffold_10	79154	80154	20.784	75.13	0.27664049
CCB1	CAPE	Infected	scaffold_10	80154	81154	74.343	75.13	0.989524824
CCB1	CAPE	Infected	scaffold_10	81154	82154	91.629	75.13	1.219606016
CCB1	CAPE	Infected	scaffold_10	82154	82673	54.312139	75.13	0.722908811
CCB1	CAPE	Infected	scaffold_10	82687	83687	42.989	75.13	0.572194862
CCB1	CAPE	Infected	scaffold_10	83687	84687	56.767	75.13	0.755583655
CCB1	CAPE	Infected	scaffold_10	84687	85687	18.117	75.13	0.24114202
CCB1	CAPE	Infected	scaffold_10	85687	85817	5.223077	75.13	0.069520524
CCB1	CAPE	Infected	scaffold_10	85897	86897	58.895	75.13	0.783907893
CCB1	CAPE	Infected	scaffold_10	86897	87897	107.468	75.13	1.430427259
CCB1	CAPE	Infected	scaffold_10	87897	88897	109.103	75.13	1.452189538
CCB1	CAPE	Infected	scaffold_10	88897	89897	55.208	75.13	0.734832956
CCB1	CAPE	Infected	scaffold_10	89897	90897	104.275	75.13	1.387927592
CCB1	CAPE	Infected	scaffold_10	90897	91897	49.246	75.13	0.655477173
CCB1	CAPE	Infected	scaffold_10	91897	92540	29.553655	75.13	0.393366897
CCB1	CAPE	Infected	scaffold_10	92579	92718	4.309353	75.13	0.057358618
CCB1	CAPE	Infected	scaffold_10	92855	93855	15.166	75.13	0.201863437
CCB1	CAPE	Infected	scaffold_10	93855	94855	44.314	75.13	0.58983096
CCB1	CAPE	Infected	scaffold_10	94855	94971	10.094828	75.13	0.134364808
CCB1	CAPE	Infected	scaffold_10	94987	95987	59.27	75.13	0.788899241
CCB1	CAPE	Infected	scaffold_10	95987	96987	75.302	75.13	1.002289365
CCB1	CAPE	Infected	scaffold_10	96987	97987	87.135	75.13	1.159789698
CCB1	CAPE	Infected	scaffold_10	97987	98987	84.091	75.13	1.11927326
CCB1	CAPE	Infected	scaffold_10	98987	99987	74.833	75.13	0.996046852
CCB1	CAPE	Infected	scaffold_10	99987	100987	82.775	75.13	1.101756955
CCB1	CAPE	Infected	scaffold_10	100987	101987	76.752	75.13	1.021589245
CCB1	CAPE	Infected	scaffold_10	101987	102987	74.541	75.13	0.992160256
CCB1	CAPE	Infected	scaffold_10	102987	103987	80.198	75.13	1.067456409
CCB1	CAPE	Infected	scaffold_10	103987	104987	79.968	75.13	1.064395049
CCB1	CAPE	Infected	scaffold_10	104987	105987	85.827	75.13	1.142379875
CCB1	CAPE	Infected	scaffold_10	105987	106987	81.137	75.13	1.079954745
CCB1	CAPE	Infected	scaffold_10	106987	107987	70.295	75.13	0.935644882
CCB1	CAPE	Infected	scaffold_10	107987	108987	77.135	75.13	1.026687076
CCB1	CAPE	Infected	scaffold_10	108987	109987	70.546	75.13	0.938985758
CCB1	CAPE	Infected	scaffold_10	109987	110987	70.062	75.13	0.932543591
CCB1	CAPE	Infected	scaffold_10	110987	111987	87.693	75.13	1.167216824
CCB1	CAPE	Infected	scaffold_10	111987	112987	79.422	75.13	1.057127645
CCB1	CAPE	Infected	scaffold_10	112987	113987	74.185	75.13	0.987421802
CCB1	CAPE	Infected	scaffold_10	113987	114987	79.629	75.13	1.05988287
CCB1	CAPE	Infected	scaffold_10	114987	115987	80.353	75.13	1.0695195
CCB1	CAPE	Infected	scaffold_10	115987	116987	91.842	75.13	1.222441102
CCB1	CAPE	Infected	scaffold_10	116987	117987	84.042	75.13	1.118621057
CCB1	CAPE	Infected	scaffold_10	117987	118987	76.447	75.13	1.017529615
CCB1	CAPE	Infected	scaffold_10	118987	119987	85.832	75.13	1.142446426
CCB1	CAPE	Infected	scaffold_10	119987	120987	90.337	75.13	1.202409157
CCB1	CAPE	Infected	scaffold_10	120987	121987	85.553	75.13	1.138732863
CCB1	CAPE	Infected	scaffold_10	121987	122987	77.691	75.13	1.034087582
CCB1	CAPE	Infected	scaffold_10	122987	123987	85.283	75.13	1.135139092
CCB1	CAPE	Infected	scaffold_10	123987	124987	88.165	75.13	1.173499268
CCB1	CAPE	Infected	scaffold_10	124987	125987	84.698	75.13	1.127352589
CCB1	CAPE	Infected	scaffold_10	125987	126987	79.781	75.13	1.06190603
CCB1	CAPE	Infected	scaffold_10	126987	127987	86.087	75.13	1.145840543
CCB1	CAPE	Infected	scaffold_10	127987	128987	86.835	75.13	1.155796619
CCB1	CAPE	Infected	scaffold_10	128987	129987	80.147	75.13	1.066777586
CCB1	CAPE	Infected	scaffold_10	129987	130987	76.659	75.13	1.020351391
CCB1	CAPE	Infected	scaffold_10	130987	131987	88.046	75.13	1.171915347
CCB1	CAPE	Infected	scaffold_10	131987	132987	80.674	75.13	1.073792094
CCB1	CAPE	Infected	scaffold_10	132987	133987	86.422	75.13	1.150299481
CCB1	CAPE	Infected	scaffold_10	133987	134987	80.162	75.13	1.066977239
CCB1	CAPE	Infected	scaffold_10	134987	135987	82.541	75.13	1.098642353
CCB1	CAPE	Infected	scaffold_10	135987	136987	82.753	75.13	1.101464129
CCB1	CAPE	Infected	scaffold_10	136987	137987	86.299	75.13	1.148662319
CCB1	CAPE	Infected	scaffold_10	137987	138987	84.792	75.13	1.128603753
CCB1	CAPE	Infected	scaffold_10	138987	139987	87.119	75.13	1.159576734
CCB1	CAPE	Infected	scaffold_10	139987	140987	78.199	75.13	1.040849195
CCB1	CAPE	Infected	scaffold_10	140987	141987	77.319	75.13	1.029136164
CCB1	CAPE	Infected	scaffold_10	141987	142987	79.326	75.13	1.05584986
CCB1	CAPE	Infected	scaffold_10	142987	143884	83.48495	75.13	1.111206575
CCB1	CAPE	Infected	scaffold_10	143886	144886	67.408	75.13	0.897218155
CCB1	CAPE	Infected	scaffold_10	144886	145886	78.056	75.13	1.038945827
CCB1	CAPE	Infected	scaffold_10	145886	146886	87.534	75.13	1.165100492
CCB1	CAPE	Infected	scaffold_10	146886	147886	80.479	75.13	1.071196593
CCB1	CAPE	Infected	scaffold_10	147886	148886	81.247	75.13	1.081418874
CCB1	CAPE	Infected	scaffold_10	148886	149886	80.17	75.13	1.067083722
CCB1	CAPE	Infected	scaffold_10	149886	150886	81.517	75.13	1.085012645
CCB1	CAPE	Infected	scaffold_10	150886	151886	71.975	75.13	0.958006123
CCB1	CAPE	Infected	scaffold_10	151886	152886	79.173	75.13	1.05381339
CCB1	CAPE	Infected	scaffold_10	152886	153886	84.998	75.13	1.131345668
CCB1	CAPE	Infected	scaffold_10	153886	154886	80.49	75.13	1.071343005
CCB1	CAPE	Infected	scaffold_10	154886	155886	77.764	75.13	1.035059231
CCB1	CAPE	Infected	scaffold_10	155886	156886	81.22	75.13	1.081059497
CCB1	CAPE	Infected	scaffold_10	156886	157886	80.912	75.13	1.076959936
CCB1	CAPE	Infected	scaffold_10	157886	158886	88.24	75.13	1.174497538
CCB1	CAPE	Infected	scaffold_10	158886	159886	82.293	75.13	1.095341408
CCB1	CAPE	Infected	scaffold_10	159886	160886	77.639	75.13	1.033395448
CCB1	CAPE	Infected	scaffold_10	160886	161886	83.518	75.13	1.111646479
CCB1	CAPE	Infected	scaffold_10	161886	162886	73.062	75.13	0.972474378
CCB1	CAPE	Infected	scaffold_10	162886	163886	82.698	75.13	1.100732064
CCB1	CAPE	Infected	scaffold_10	163886	164886	71.934	75.13	0.957460402
CCB1	CAPE	Infected	scaffold_10	164886	165886	82.331	75.13	1.095847198
CCB1	CAPE	Infected	scaffold_10	165886	166886	85.297	75.13	1.135325436
CCB1	CAPE	Infected	scaffold_10	166886	167886	83.072	75.13	1.105710102
CCB1	CAPE	Infected	scaffold_10	167886	168886	78.193	75.13	1.040769333
CCB1	CAPE	Infected	scaffold_10	168886	169886	81.453	75.13	1.084160788
CCB1	CAPE	Infected	scaffold_10	169886	170886	66.846	75.13	0.889737788
CCB1	CAPE	Infected	scaffold_10	170886	171886	76.196	75.13	1.01418874
CCB1	CAPE	Infected	scaffold_10	171886	172886	76.809	75.13	1.02234793
CCB1	CAPE	Infected	scaffold_10	172886	173886	86.42	75.13	1.15027286
CCB1	CAPE	Infected	scaffold_10	173886	174886	84.586	75.13	1.125861839
CCB1	CAPE	Infected	scaffold_10	174886	175886	83.494	75.13	1.111327033
CCB1	CAPE	Infected	scaffold_10	175886	176886	74.637	75.13	0.993438041
CCB1	CAPE	Infected	scaffold_10	176886	177886	81.163	75.13	1.080300812
CCB1	CAPE	Infected	scaffold_10	177886	178886	80.392	75.13	1.0700386
CCB1	CAPE	Infected	scaffold_10	178886	179886	79.826	75.13	1.062504991
CCB1	CAPE	Infected	scaffold_10	179886	180886	74.662	75.13	0.993770797
CCB1	CAPE	Infected	scaffold_10	180886	181886	80.17	75.13	1.067083722
CCB1	CAPE	Infected	scaffold_10	181886	182886	86.39	75.13	1.149873553
CCB1	CAPE	Infected	scaffold_10	182886	183886	74.951	75.13	0.997617463
CCB1	CAPE	Infected	scaffold_10	183886	184886	81.095	75.13	1.079395714
CCB1	CAPE	Infected	scaffold_10	184886	185886	80.752	75.13	1.074830294
CCB1	CAPE	Infected	scaffold_10	185886	186886	80.631	75.13	1.073219752
CCB1	CAPE	Infected	scaffold_10	186886	187886	82.492	75.13	1.09799015
CCB1	CAPE	Infected	scaffold_10	187886	188886	81.309	75.13	1.08224411
CCB1	CAPE	Infected	scaffold_10	188886	189886	75.01	75.13	0.998402769
CCB1	CAPE	Infected	scaffold_10	189886	190886	79.321	75.13	1.055783309
CCB1	CAPE	Infected	scaffold_10	190886	191886	86.342	75.13	1.14923466
CCB1	CAPE	Infected	scaffold_10	191886	192886	84.385	75.13	1.123186477
CCB1	CAPE	Infected	scaffold_10	192886	193886	83.34	75.13	1.109277253
CCB1	CAPE	Infected	scaffold_10	193886	194886	87.396	75.13	1.163263676
CCB1	CAPE	Infected	scaffold_10	194886	195886	75.915	75.13	1.010448556
CCB1	CAPE	Infected	scaffold_10	195886	196886	78.434	75.13	1.043977106
CCB1	CAPE	Infected	scaffold_10	196886	197886	86.644	75.13	1.153254359
CCB1	CAPE	Infected	scaffold_10	197886	198886	77.72	75.13	1.034473579
CCB1	CAPE	Infected	scaffold_10	198886	199886	81.182	75.13	1.080553707
