seq_id	start	end	strand	seq_id2	start2	end2	L
JEL423	57264	395733	+	CLFT044	109842	432509	338469
CLFT044	430140	726042	-	CLFT071	150435	446655	295902
JEL423	31829	228582	-	CLFT071	613223	800481	196753
JEL423	403281	582824	+	CLFT044	441248	612068	179543
JEL423	403281	582824	-	CLFT071	264697	435414	179543
JEL423	229258	393819	-	CLFT071	456225	613223	164561
CLFT044	109842	273445	-	CLFT071	613223	775518	163603
CLFT044	725495	882849	-	CLFT071	0	156729	157354
CLFT044	274121	430672	-	CLFT071	456225	613223	156551
JEL423	851654	954283	+	CLFT044	877762	975544	102629
JEL423	678235	771960	-	CLFT071	77019	167007	93725
JEL423	583368	675509	+	CLFT044	620069	706834	92141
JEL423	583368	675509	-	CLFT071	169714	256741	92141
JEL423	856957	940498	-	CLFT071	877033	956479	83541
JEL423	688781	771960	+	CLFT044	725495	805839	83179
CLFT044	882849	961802	-	CLFT071	877033	956479	78953
JEL423	774469	826817	+	CLFT044	808296	858338	52348
JEL423	776089	826817	-	CLFT071	24385	73438	50728
JEL423	31829	56547	+	CLFT044	85624	109844	24718
CLFT044	85462	109844	-	CLFT071	776235	800640	24382
JEL423	834275	856958	-	CLFT044	853271	874503	22683
JEL423	834514	856958	+	CLFT071	8420	29520	22444
JEL423	942647	964152	-	CLFT071	855456	877011	21505
JEL423	678235	695095	+	CLFT044	709541	726042	16860
JEL423	821514	836255	-	CLFT044	869331	882850	14741
JEL423	821515	836255	+	CLFT071	0	13496	14740
JEL423	384153	397290	+	CLFT044	433909	446969	13137
JEL423	384153	397290	-	CLFT071	429694	442847	13137
JEL423	4620	17332	+	CLFT044	59320	72052	12712
CLFT044	963934	975555	-	CLFT071	865314	877011	11621
CLFT044	433956	445412	+	CLFT044	421077	432509	11456
CLFT044	421077	432509	+	CLFT044	433956	445412	11432
CLFT044	421077	432509	-	CLFT071	431250	442800	11432
JEL423	41950	52026	-	CLFT071	780701	790372	10076
CLFT044	95701	105777	-	CLFT071	780451	790408	10076
JEL423	567309	577378	-	CLFT071	270045	280106	10069
JEL423	274478	284532	+	CLFT044	317220	326741	10054
JEL423	41843	51872	+	CLFT044	95630	105434	10029
JEL423	85158	95174	+	CLFT044	136610	146005	10016
JEL423	274741	284756	+	CLFT044	317385	326965	10015
JEL423	789537	799548	-	CLFT071	50454	60317	10011
