Strain	Lineage	BdDV1	scaffold_10	start	end	Coverage	Average_NCL	Coverage/Average_NCL
CLFT061	BRAZIL	Infected	scaffold_10	152	252	11.49	44.89	0.255959011
CLFT061	BRAZIL	Infected	scaffold_10	252	352	26.24	44.89	0.584539987
CLFT061	BRAZIL	Infected	scaffold_10	352	452	38.39	44.89	0.855201604
CLFT061	BRAZIL	Infected	scaffold_10	452	552	64	44.89	1.425707284
CLFT061	BRAZIL	Infected	scaffold_10	552	652	64.35	44.89	1.433504121
CLFT061	BRAZIL	Infected	scaffold_10	652	752	65.36	44.89	1.456003564
CLFT061	BRAZIL	Infected	scaffold_10	752	852	56.86	44.89	1.266651816
CLFT061	BRAZIL	Infected	scaffold_10	852	952	52.19	44.89	1.162619737
CLFT061	BRAZIL	Infected	scaffold_10	952	1052	58.75	44.89	1.308754734
CLFT061	BRAZIL	Infected	scaffold_10	1052	1152	64.46	44.89	1.435954556
CLFT061	BRAZIL	Infected	scaffold_10	1152	1252	64.6	44.89	1.43907329
CLFT061	BRAZIL	Infected	scaffold_10	1252	1352	51.94	44.89	1.157050568
CLFT061	BRAZIL	Infected	scaffold_10	1352	1452	48.98	44.89	1.091111606
CLFT061	BRAZIL	Infected	scaffold_10	1452	1552	42.84	44.89	0.954332814
CLFT061	BRAZIL	Infected	scaffold_10	1552	1652	32.98	44.89	0.734684785
CLFT061	BRAZIL	Infected	scaffold_10	1652	1752	34.45	44.89	0.767431499
CLFT061	BRAZIL	Infected	scaffold_10	1752	1852	48.79	44.89	1.086879038
CLFT061	BRAZIL	Infected	scaffold_10	1852	1952	39.83	44.89	0.887280018
CLFT061	BRAZIL	Infected	scaffold_10	1952	2052	32.51	44.89	0.724214747
CLFT061	BRAZIL	Infected	scaffold_10	2052	2152	57.02	44.89	1.270216084
CLFT061	BRAZIL	Infected	scaffold_10	2152	2252	81.59	44.89	1.817554021
CLFT061	BRAZIL	Infected	scaffold_10	2252	2352	95.47	44.89	2.126754288
CLFT061	BRAZIL	Infected	scaffold_10	2352	2452	84.12	44.89	1.873914012
CLFT061	BRAZIL	Infected	scaffold_10	2452	2552	71.55	44.89	1.593896191
CLFT061	BRAZIL	Infected	scaffold_10	2552	2652	69.84	44.89	1.555803074
CLFT061	BRAZIL	Infected	scaffold_10	2652	2752	77.19	44.89	1.719536645
CLFT061	BRAZIL	Infected	scaffold_10	2752	2852	63.28	44.89	1.409668078
CLFT061	BRAZIL	Infected	scaffold_10	2852	2952	71.89	44.89	1.601470261
CLFT061	BRAZIL	Infected	scaffold_10	2952	3052	73.37	44.89	1.634439742
CLFT061	BRAZIL	Infected	scaffold_10	3052	3152	66.85	44.89	1.489195812
CLFT061	BRAZIL	Infected	scaffold_10	3152	3252	46.41	44.89	1.033860548
CLFT061	BRAZIL	Infected	scaffold_10	3252	3352	51.11	44.89	1.138560927
CLFT061	BRAZIL	Infected	scaffold_10	3352	3452	52.17	44.89	1.162174204
CLFT061	BRAZIL	Infected	scaffold_10	3452	3552	60.53	44.89	1.348407218
CLFT061	BRAZIL	Infected	scaffold_10	3552	3652	44.44	44.89	0.989975496
CLFT061	BRAZIL	Infected	scaffold_10	3652	3752	40.87	44.89	0.910447761
CLFT061	BRAZIL	Infected	scaffold_10	3752	3852	38.19	44.89	0.850746269
CLFT061	BRAZIL	Infected	scaffold_10	3852	3952	43.36	44.89	0.965916685
CLFT061	BRAZIL	Infected	scaffold_10	3952	4052	38.89	44.89	0.866339942
CLFT061	BRAZIL	Infected	scaffold_10	4052	4152	35.27	44.89	0.785698374
CLFT061	BRAZIL	Infected	scaffold_10	4152	4252	34.1	44.89	0.759634663
CLFT061	BRAZIL	Infected	scaffold_10	4252	4352	40.46	44.89	0.901314324
CLFT061	BRAZIL	Infected	scaffold_10	4352	4452	44.57	44.89	0.992871464
CLFT061	BRAZIL	Infected	scaffold_10	4452	4552	39.08	44.89	0.870572511
CLFT061	BRAZIL	Infected	scaffold_10	4552	4652	33.48	44.89	0.745823123
CLFT061	BRAZIL	Infected	scaffold_10	4652	4752	12.35	44.89	0.275116953
CLFT061	BRAZIL	Infected	scaffold_10	4752	4763	2.545455	44.89	0.056704277
CLFT061	BRAZIL	Infected	scaffold_10	5005	5105	2.57	44.89	0.057251058
CLFT061	BRAZIL	Infected	scaffold_10	5105	5205	2.73	44.89	0.060815326
CLFT061	BRAZIL	Infected	scaffold_10	5205	5305	14.72	44.89	0.327912675
CLFT061	BRAZIL	Infected	scaffold_10	5305	5405	24.25	44.89	0.540209401
CLFT061	BRAZIL	Infected	scaffold_10	5405	5505	26.85	44.89	0.598128759
CLFT061	BRAZIL	Infected	scaffold_10	5505	5605	25.24	44.89	0.56226331
CLFT061	BRAZIL	Infected	scaffold_10	5605	5705	24.6	44.89	0.548006237
CLFT061	BRAZIL	Infected	scaffold_10	5705	5805	26.31	44.89	0.586099354
CLFT061	BRAZIL	Infected	scaffold_10	5805	5905	27.92	44.89	0.621964803
CLFT061	BRAZIL	Infected	scaffold_10	5905	6005	26.86	44.89	0.598351526
CLFT061	BRAZIL	Infected	scaffold_10	6005	6105	32.73	44.89	0.729115616
CLFT061	BRAZIL	Infected	scaffold_10	6105	6205	31.82	44.89	0.70884384
CLFT061	BRAZIL	Infected	scaffold_10	6205	6305	42.78	44.89	0.952996213
CLFT061	BRAZIL	Infected	scaffold_10	6305	6405	59.92	44.89	1.334818445
CLFT061	BRAZIL	Infected	scaffold_10	6405	6505	39.98	44.89	0.890621519
CLFT061	BRAZIL	Infected	scaffold_10	6505	6605	25.56	44.89	0.569391847
CLFT061	BRAZIL	Infected	scaffold_10	6605	6675	7.885714	44.89	0.175667498
CLFT061	BRAZIL	Infected	scaffold_10	6677	6777	10.15	44.89	0.226108265
CLFT061	BRAZIL	Infected	scaffold_10	6777	6877	31.42	44.89	0.69993317
CLFT061	BRAZIL	Infected	scaffold_10	6877	6977	34.83	44.89	0.775896636
CLFT061	BRAZIL	Infected	scaffold_10	6977	7077	33.95	44.89	0.756293161
CLFT061	BRAZIL	Infected	scaffold_10	7077	7177	18.73	44.89	0.417242147
CLFT061	BRAZIL	Infected	scaffold_10	7177	7277	10.08	44.89	0.224548897
CLFT061	BRAZIL	Infected	scaffold_10	7277	7377	7.63	44.89	0.16997104
CLFT061	BRAZIL	Infected	scaffold_10	7377	7477	20.69	44.89	0.460904433
