seq_id	start	end	strand	Organism
scaffold_10	21689	22605	+	BdDV1
scaffold_10	22642	23510	-	BdDV1
scaffold_10	23863	24569	+	BdDV1
scaffold_10	24849	25472	+ 	BdDV1
scaffold_10	27314	28583	-	CLFT044
scaffold_10	29396	33369	+	CLFT044
scaffold_10	36073	36396	-	CLFT044
scaffold_10	36545	37822	-	CLFT044
scaffold_10	37840	39024	-	CLFT044
scaffold_10	39077	39496	+	CLFT044
scaffold_10	40175	41377	-	CLFT044
scaffold_10	45649	46491	+	CLFT044
scaffold_10	52409	53550	+	CLFT044
scaffold_10	54425	54946	-	CLFT044
scaffold_10	58039	58978	-	CLFT044
scaffold_10	59383	59670	+	CLFT044
scaffold_10	60489	61576	+	CLFT044
scaffold_10	61999	63770	-	CLFT044
scaffold_10	63800	65785	+	CLFT044
scaffold_10	69437	71094	+	CLFT044
scaffold_10	73625	74734	+	CLFT044
scaffold_10	78251	79057	-	CLFT044
scaffold_10	80494	82146	-	CLFT044
scaffold_10	82948	84599	+	CLFT044
scaffold_10	86071	86906	+	CLFT044
scaffold_10	88011	88652	-	CLFT044
scaffold_10	90768	93421	-	CLFT044
scaffold_10	95168	96205	+	CLFT044
scaffold_10	97751	99301	+	CLFT044
scaffold_10	100046	101189	+	CLFT044
scaffold_10	101671	103132	+	CLFT044
scaffold_10	103677	104803	+	CLFT044
scaffold_10	104804	106741	-	CLFT044
scaffold_10	106762	110043	-	CLFT044
scaffold_10	110358	114382	-	CLFT044
scaffold_10	114375	116507	-	CLFT044
scaffold_10	117513	118787	+	CLFT044
scaffold_10	119181	120067	+	CLFT044
scaffold_10	120474	121661	-	CLFT044
scaffold_10	122229	123377	+	CLFT044
scaffold_10	123726	128112	-	CLFT044
scaffold_10	128707	131418	-	CLFT044
scaffold_10	132151	134851	+	CLFT044
scaffold_10	134919	135721	+	CLFT044
scaffold_10	135857	137363	-	CLFT044
scaffold_10	137475	143262	+	CLFT044
scaffold_10	143370	144932	-	CLFT044
scaffold_10	145100	146503	+	CLFT044
scaffold_10	146596	147405	-	CLFT044
scaffold_10	147721	148722	-	CLFT044
